,,
code,code_sub,QSBIO_err_prob
5dtk_3,5dtk,14.3
5dtk_2,5dtk,14.3
1qwk_1,1qwk,12.3
1pto_1,1pto,10.6
1pto_2,1pto,10.6
1kux_1,1kux,2.8
3ogg_1,3ogg,1.6
3fyw_1,3fyw,1.6
1pkj_1,1pkj,24
1pkj_2,1pkj,7.5
5bo7_1,5bo7,70.3
3flj_1,3flj,3.5
4b1c_1,4b1c,1.6
1rni_1,1rni,2.8
1qz6_1,1qz6,1.6
5do7_2,5do7,52.6
5do7_1,5do7,52.6
1fmc_1,1fmc,3
5d6t_1,5d6t,2.8
3keu_1,3keu,15.4
2vtk_1,2vtk,3.5
1ut0_1,1ut0,12.3
1ut0_2,1ut0,12.3
2pp9_1,2pp9,3
3b52_1,3b52,3.5
4ihf_2,4ihf,10.6
4ihf_3,4ihf,40.5
4ihf_1,4ihf,10.6
1f0q_1,1f0q,1.6
2thf_1,2thf,4.5
1tig_1,1tig,44.5
2ikq_2,2ikq,3.5
2ikq_1,2ikq,3.5
2p5r_1,2p5r,70.3
4pq1_2,4pq1,1.6
4pq1_1,4pq1,1.6
3req_1,3req,2.3
5ajn_1,5ajn,12.3
2gti_1,2gti,7.7
7prn_1,7prn,3
4avd_1,4avd,1.6
3u30_1,3u30,NA
3u30_2,3u30,NA
3zvx_1,3zvx,10.5
4v29_1,4v29,70.3
3hry_1,3hry,10.5
3hry_2,3hry,70.3
5agz_1,5agz,15.4
5flr_1,5flr,1.6
3ip8_1,3ip8,2.8
1com_2,1com,3
1com_3,1com,3
1com_4,1com,3
1com_1,1com,3
4wh8_2,4wh8,1.6
4wh8_1,4wh8,1.6
1hl2_1,1hl2,3
2c1z_1,2c1z,1.6
3swg_1,3swg,25
3kmm_1,3kmm,1.6
4f8x_1,4f8x,1.6
3nal_1,3nal,1.6
3f3v_1,3f3v,1.6
3f3v_2,3f3v,1.6
2g7z_1,2g7z,19.4
2g7z_3,2g7z,10.5
2g7z_2,2g7z,19.4
4ole_2,4ole,19.4
4ole_3,4ole,19.4
4ole_4,4ole,19.4
4ole_1,4ole,19.4
4ole_5,4ole,24
4ut7_1,4ut7,NA
4wgk_1,4wgk,1.6
4wgk_2,4wgk,1.6
4i1e_1,4i1e,25
3czo_1,3czo,3
3czo_2,3czo,3
3czo_3,3czo,3
5ait_1,5ait,40.5
3lfz_1,3lfz,1.6
1b98_1,1b98,2.3
4pxa_1,4pxa,1.6
4puk_1,4puk,3.5
3pv3_1,3pv3,24
4hz2_1,4hz2,3.5
5a2f_1,5a2f,44.5
3gz3_1,3gz3,3.5
2jgz_1,2jgz,4.8
2ivx_1,2ivx,12.3
2ivx_2,2ivx,12.3
3ag5_1,3ag5,3.5
1ymn_1,1ymn,1.6
2v9w_2,2v9w,1.6
2v9w_1,2v9w,1.6
4kqx_1,4kqx,3.5
3me8_2,3me8,19.4
3me8_1,3me8,19.4
1lww_1,1lww,28.6
4rke_1,4rke,1.6
1nq1_1,1nq1,12.3
1nq1_2,1nq1,10.5
1bdi_1,1bdi,3.5
1ds0_1,1ds0,1.6
2a5y_1,2a5y,10.6
2i1j_2,2i1j,10.5
2i1j_3,2i1j,59.1
2i1j_1,2i1j,12.3
2vio_1,2vio,1.6
4y82_1,4y82,0
1vwf_1,1vwf,7.7
3fw0_1,3fw0,2.8
4o58_1,4o58,NA
1cuo_1,1cuo,1.6
2de7_1,2de7,40.5
4hg9_2,4hg9,70.3
4hg9_1,4hg9,70.3
1a1q_1,1a1q,1.6
1a1q_3,1a1q,1.6
1a1q_2,1a1q,1.6
2frv_4,2frv,2.3
2frv_2,2frv,2.3
2frv_3,2frv,2.3
2frv_5,2frv,2.3
2frv_1,2frv,2.3
2frv_6,2frv,2.3
4um9_1,4um9,4.8
4um9_2,4um9,4.8
4pyj_2,4pyj,7.4
4pyj_1,4pyj,94.7
1jgw_1,1jgw,7.6
1lev_1,1lev,7.7
2igy_1,2igy,1.6
2igy_2,2igy,1.6
1upk_1,1upk,2.8
4tl5_1,4tl5,0
1tk2_1,1tk2,1.6
1xbv_2,1xbv,3
1xbv_1,1xbv,91.5
1ytv_1,1ytv,70.3
2vp1_2,2vp1,1.6
2vp1_1,2vp1,1.6
3f1k_1,3f1k,3.5
2vm5_1,2vm5,1.6
2yiu_1,2yiu,10.6
3b9g_1,3b9g,3.5
3uc8_1,3uc8,NA
3n8e_1,3n8e,43.2
3n8e_2,3n8e,24
2e7q_2,2e7q,14.3
2e7q_1,2e7q,14.3
3qry_2,3qry,1.6
3qry_1,3qry,1.6
4nh9_1,4nh9,1.6
3u7n_1,3u7n,1.6
1frp_1,1frp,7.7
2hye_1,2hye,100
3urm_1,3urm,1.6
3urm_2,3urm,1.6
4uzz_1,4uzz,4.5
4r0i_1,4r0i,1.6
4yaq_2,4yaq,NA
4yaq_1,4yaq,NA
3m54_1,3m54,2.8
1yy4_1,1yy4,3.5
1ogb_1,1ogb,10.5
3sr1_1,3sr1,1.6
2bhg_1,2bhg,1.6
2bhg_2,2bhg,1.6
3utn_1,3utn,1.6
2i7f_1,2i7f,12.3
2i7f_2,2i7f,12.3
2g2p_1,2g2p,3
3hrc_1,3hrc,1.6
3vfr_1,3vfr,NA
3tha_1,3tha,7.4
4ecl_1,4ecl,3.5
4ecl_2,4ecl,3.5
2yiw_1,2yiw,1.6
1nw9_1,1nw9,4.5
2dyr_1,2dyr,10.6
1z25_1,1z25,2.8
4puo_1,4puo,2.3
4puo_2,4puo,2.3
4c89_1,4c89,70.3
4c89_2,4c89,70.3
1w3a_1,1w3a,59.1
4wb3_1,4wb3,12.3
4wb3_2,4wb3,12.3
4wb3_3,4wb3,12.3
2aw6_1,2aw6,7.4
3tew_1,3tew,1.6
2aug_2,2-Aug,70.3
2aug_1,2-Aug,70.3
3s9f_1,3s9f,7.4
1swv_1,1swv,7.4
3cp5_1,3cp5,2.8
4bnv_1,4bnv,7.7
3u6o_1,3u6o,1.6
4ntb_1,4ntb,7.5
3q4q_1,3q4q,70.3
1gdq_1,1gdq,1.6
1le5_2,1le5,2.3
1le5_1,1le5,2.3
1z97_1,1z97,1.6
5d6a_1,5d6a,15.4
2y75_3,2y75,24
2y75_2,2y75,24
2y75_4,2y75,15.4
2y75_6,2y75,15.4
2y75_1,2y75,59.1
2y75_5,2y75,15.4
3sw0_1,3sw0,1.6
2nt1_5,2nt1,24
2nt1_1,2nt1,19.4
2nt1_4,2nt1,19.4
2nt1_3,2nt1,19.4
2nt1_2,2nt1,19.4
5c14_1,5c14,44.5
5c14_2,5c14,44.5
5c14_3,5c14,59.1
1iwi_1,1iwi,1.6
4qql_2,4qql,7.5
4qql_3,4qql,7.5
4qql_1,4qql,7.5
1gwo_1,1gwo,1.6
2h42_3,2h42,12.3
2h42_2,2h42,12.3
2h42_4,2h42,10.5
2h42_1,2h42,12.3
2wr7_1,2wr7,3
2c0j_1,2c0j,2.3
2ymy_1,2ymy,NA
2ph4_1,2ph4,10.5
2ph4_2,2ph4,59.1
4xmq_1,4xmq,43.2
1od7_1,1od7,1.6
2g5r_1,2g5r,1.6
3qay_2,3qay,2.8
3qay_3,3qay,2.8
3qay_4,3qay,2.8
3qay_1,3qay,2.8
2nyv_1,2nyv,1.6
4im7_1,4im7,1.6
3hp2_1,3hp2,1.6
4acc_1,4acc,7.4
2zqx_3,2zqx,12.3
2zqx_2,2zqx,12.3
2zqx_1,2zqx,12.3
2ow0_4,2ow0,70.3
2ow0_3,2ow0,24
2ow0_2,2ow0,12.3
2ow0_5,2ow0,70.3
2ow0_1,2ow0,12.3
5nn9_1,5nn9,7.5
4lg0_1,4lg0,9.2
2hwg_1,2hwg,7.4
3c6u_1,3c6u,4.8
3s7z_2,3s7z,91.5
3s7z_1,3s7z,3.5
3t14_1,3t14,70.3
1l5z_1,1l5z,14.3
1l5z_2,1l5z,24
5d9a_1,5d9a,0
5d9a_4,5d9a,0
5d9a_3,5d9a,0
5d9a_2,5d9a,0
4pow_1,4pow,1.6
4pow_2,4pow,1.6
3w69_1,3w69,12.3
3w69_2,3w69,12.3
4keg_1,4keg,25
4keg_2,4keg,7.4
4w5z_1,4w5z,1.6
3vtp_1,3vtp,0
4yju_1,4yju,1.6
3srw_1,3srw,1.6
4ob1_1,4ob1,88.6
2qjf_1,2qjf,3.5
3zit_1,3zit,10.5
1pu7_2,1pu7,2.8
1pu7_1,1pu7,2.8
1xpr_5,1xpr,12.3
1xpr_6,1xpr,12.3
1xpr_1,1xpr,12.3
1xpr_4,1xpr,12.3
1xpr_3,1xpr,12.3
1xpr_2,1xpr,12.3
4hc8_1,4hc8,3
4hc8_2,4hc8,3
4nf7_1,4nf7,1.6
2f21_1,2f21,1.6
3f71_1,3f71,3.5
4xbk_1,4xbk,15.4
3vic_1,3vic,7.7
3vic_2,3vic,7.7
1rai_1,1rai,0
4nr2_4,4nr2,3.5
4nr2_2,4nr2,3.5
4nr2_3,4nr2,3.5
4nr2_1,4nr2,3.5
4at2_1,4at2,7.4
1mh2_1,1mh2,4.8
1xxw_1,1xxw,9.2
1u5j_1,1u5j,3.5
5dsl_1,5dsl,1.6
1p4d_1,1p4d,1.6
1p4d_2,1p4d,1.6
1p4d_3,1p4d,1.6
3wjk_1,3wjk,3.5
2ifq_3,2ifq,25
2ifq_2,2ifq,25
2ifq_1,2ifq,25
2os9_1,2os9,3
4fjp_1,4fjp,1.6
3d0v_1,3d0v,NA
3o3t_1,3o3t,1.6
2eer_1,2eer,3
3dey_1,3dey,3.5
2qv4_1,2qv4,1.6
4nk4_1,4nk4,91.5
4nk4_5,4nk4,3
4nk4_2,4nk4,91.5
4nk4_3,4nk4,91.5
4nk4_4,4nk4,3
4x1z_1,4x1z,7.4
3g9o_1,3g9o,10.5
3m6s_2,3m6s,0
3m6s_1,3m6s,0
1h8n_1,1h8n,1.6
4hbu_1,4hbu,1.6
1hxj_1,1hxj,43.2
5cl1_1,5cl1,15.7
2f3r_1,2f3r,4.4
3n1m_1,3n1m,37.9
3nr0_1,3nr0,12.3
3nr0_2,3nr0,12.3
5esx_1,5esx,15.4
4ner_1,4ner,1.6
2uzw_1,2uzw,1.6
4plh_1,4plh,3
1bww_1,1bww,10.5
4yxo_1,4yxo,1.6
2vmh_1,2vmh,2.8
2hk0_1,2hk0,7.7
2r9u_1,2r9u,1.6
2r9u_2,2r9u,1.6
2r9u_3,2r9u,1.6
2r9u_4,2r9u,1.6
1s7w_4,1s7w,NA
1s7w_2,1s7w,NA
1s7w_3,1s7w,NA
1s7w_1,1s7w,NA
1cpo_1,1cpo,2.8
2xhj_1,2xhj,2.8
1oth_1,1oth,3
3hx3_1,3hx3,1.6
1c3w_1,1c3w,0
4x5c_1,4x5c,15.4
1uun_1,1uun,3
2uyy_1,2uyy,0
4hkb_5,4hkb,NA
4hkb_1,4hkb,NA
4hkb_6,4hkb,NA
4hkb_4,4hkb,NA
4hkb_2,4hkb,NA
4hkb_3,4hkb,NA
3f4t_1,3f4t,44.5
3np5_2,3np5,7.4
3np5_3,3np5,7.4
3np5_1,3np5,59.1
1k2c_1,1k2c,3.5
2ekl_1,2ekl,3.5
5fge_1,5fge,0
1uow_1,1uow,1.6
4kfq_1,4kfq,12.3
4kfq_2,4kfq,12.3
3cjg_1,3cjg,1.6
2zq3_1,2zq3,1.6
3rt1_1,3rt1,24
4c5o_4,4c5o,10.5
4c5o_3,4c5o,10.5
4c5o_2,4c5o,10.5
4c5o_1,4c5o,10.5
3oku_1,3oku,1.6
2obs_1,2obs,3.5
3ghs_1,3ghs,1.6
2h07_1,2h07,3
5f4z_1,5f4z,15.4
5f4z_2,5f4z,15.4
5f4z_3,5f4z,15.4
1ck6_1,1ck6,1.6
4acy_2,4acy,1.6
4acy_1,4acy,1.6
3fcv_1,3fcv,0
4uj8_1,4uj8,2.8
4uj8_2,4uj8,2.8
4uj8_3,4uj8,2.8
4uj8_4,4uj8,2.8
1e6g_1,1e6g,1.6
2f22_1,2f22,7.4
4u8m_1,4u8m,59.1
4cws_1,4cws,1.6
4p75_1,4p75,0
1ckc_1,1ckc,1.6
2ij9_1,2ij9,59.1
4tv4_1,4tv4,3
2wny_1,2wny,48.3
2wny_2,2wny,48.3
4do4_1,4do4,3.5
3w06_1,3w06,1.6
1pe5_1,1pe5,1.6
4u5q_1,4u5q,2.8
4u5q_2,4u5q,2.8
3kyj_1,3kyj,4.8
2npi_2,2npi,4.5
2npi_1,2npi,4.5
4ztl_2,4ztl,28.6
4ztl_3,4ztl,28.6
4ztl_4,4ztl,28.6
4ztl_1,4ztl,28.6
3rs2_1,3rs2,12.3
4dw5_1,4dw5,19.4
4dw5_2,4dw5,19.4
4isj_1,4isj,12.3
4isj_3,4isj,10.5
4isj_2,4isj,12.3
2jhz_2,2jhz,12.3
2jhz_1,2jhz,12.3
3c7x_2,3c7x,70.3
3c7x_3,3c7x,70.3
3c7x_1,3c7x,1.6
4mm6_1,4mm6,2.8
4ce6_1,4ce6,3.5
3ndz_1,3ndz,10.6
3oyc_1,3oyc,10.6
3dv0_2,3dv0,7.6
3dv0_1,3dv0,7.6
3gg4_1,3gg4,74.9
3gg4_2,3gg4,74.9
3gg4_3,3gg4,70.3
4hvx_1,4hvx,3.5
2c9o_1,2c9o,7.5
2c9o_2,2c9o,0
1eg9_2,1eg9,40.5
1eg9_1,1eg9,0
4i4x_4,4i4x,1.6
4i4x_2,4i4x,70.3
4i4x_3,4i4x,1.6
4i4x_5,4i4x,1.6
4i4x_1,4i4x,70.3
4i4x_6,4i4x,1.6
5daa_1,5daa,3.5
1xw8_1,1xw8,7.4
4y3h_1,4y3h,1.6
3ufz_1,3ufz,1.6
2qum_2,2qum,3.5
2qum_1,2qum,3.5
4cha_1,4cha,10.6
4ndp_1,4ndp,0
2lbd_1,2lbd,1.6
3qpy_1,3qpy,3
4nqm_1,4nqm,1.6
2pfy_1,2pfy,1.6
2pfy_4,2pfy,1.6
2pfy_2,2pfy,1.6
2pfy_3,2pfy,1.6
3c9s_1,3c9s,3.5
5fdi_1,5fdi,1.6
4j1n_1,4j1n,91.5
4j1n_2,4j1n,3
4o0m_1,4o0m,4.4
5cj3_1,5cj3,15.4
2er0_1,2er0,1.6
4z0j_1,4z0j,15.4
2jf5_1,2jf5,NA
3vh0_1,3vh0,NA
3vh0_2,3vh0,74.9
3vh0_3,3vh0,74.9
1rxk_1,1rxk,7.7
2w11_1,2w11,10.5
1nob_2,1nob,3
1nob_1,1nob,3
3mcv_1,3mcv,3
1vds_1,1vds,1.6
4nl3_1,4nl3,3
4nl3_2,4nl3,3
2hl9_1,2hl9,2.8
1zaw_1,1zaw,10.6
3r9j_1,3r9j,40.5
3r9j_3,3r9j,14.3
3r9j_2,3r9j,7.6
3r9j_4,3r9j,70.3
3gyl_1,3gyl,1.6
1a4k_2,1a4k,NA
1a4k_1,1a4k,NA
4czu_1,4czu,43.2
4czu_2,4czu,43.2
4gvg_2,4gvg,1.6
4gvg_1,4gvg,1.6
2zew_1,2zew,10.5
3r0k_1,3r0k,3.5
4h8i_1,4h8i,14.3
1u6l_1,1u6l,3.5
4oej_1,4oej,10.5
4itw_1,4itw,7.7
1i91_1,1i91,1.6
4ajm_1,4ajm,1.6
4ajm_2,4ajm,1.6
4ae0_1,4ae0,7.4
2nmm_1,2nmm,12.3
2nmm_4,2nmm,NA
2nmm_3,2nmm,12.3
2nmm_2,2nmm,12.3
3qds_1,3qds,7.7
3qds_3,3qds,94
3qds_2,3qds,94
5akr_1,5akr,7.5
1p62_1,1p62,3.5
1cg8_1,1cg8,10.6
1rg2_2,1rg2,2.8
1rg2_1,1rg2,2.8
1qt4_1,1qt4,1.6
5ceb_1,5ceb,2.8
5ceb_2,5ceb,2.8
3aqg_3,3aqg,10.5
3aqg_2,3aqg,12.3
3aqg_1,3aqg,12.3
3gst_1,3gst,3.5
5cvo_2,5cvo,40.5
5cvo_1,5cvo,40.5
3dv4_1,3dv4,NA
1jh5_1,1jh5,98.1
1jh5_2,1jh5,24
3ruv_1,3ruv,7.7
4qod_1,4qod,15.4
2nze_1,2nze,12.3
2nze_3,2nze,10.5
2nze_2,2nze,12.3
1q0p_1,1q0p,19.4
3pz9_1,3pz9,1.6
2whg_2,2whg,1.6
2whg_1,2whg,1.6
2we3_1,2we3,2.8
5aem_1,5aem,2.8
2qmp_1,2qmp,3.5
3swz_1,3swz,25
3swz_2,3swz,25
3swz_3,3swz,25
3swz_4,3swz,25
1uzf_1,1uzf,1.6
2yq0_1,2yq0,59.1
3i7d_1,3i7d,7.4
4x44_1,4x44,15.4
3ckx_1,3ckx,1.6
1j1g_1,1j1g,1.6
4ewa_1,4ewa,1.6
3c7j_1,3c7j,24
1el5_1,1el5,1.6
1el5_2,1el5,1.6
4fm5_1,4fm5,3.5
4fm5_2,4fm5,3.5
4jz2_1,4jz2,3.5
2bo4_2,2bo4,24
2bo4_1,2bo4,24
4umt_1,4umt,1.6
1z5v_1,1z5v,1.6
3vtn_1,3vtn,7.7
1mmg_1,1mmg,1.6
3d5w_1,3d5w,1.6
3kxt_1,3kxt,19.4
1mxd_1,1mxd,1.6
2jc3_2,2jc3,3.5
2jc3_3,2jc3,3.5
2jc3_4,2jc3,3.5
2jc3_1,2jc3,3.5
5fxz_2,5fxz,1.6
5fxz_1,5fxz,1.6
4xq7_1,4xq7,1.6
3fk2_1,3fk2,1.6
3fk2_3,3fk2,1.6
3fk2_2,3fk2,1.6
3fk2_4,3fk2,1.6
4ftv_1,4ftv,NA
2xhu_2,2xhu,12.3
2xhu_1,2xhu,12.3
3as4_1,3as4,12.3
4r2v_1,4r2v,3.5
1mps_1,1mps,7.6
1t9w_1,1t9w,94.7
1t9w_2,1t9w,3
3ugw_1,3ugw,1.6
5cnn_1,5cnn,28.6
5cnn_2,5cnn,28.6
4u6b_1,4u6b,59.1
1jf0_1,1jf0,1.6
2g4q_1,2g4q,1.6
2h34_1,2h34,28.6
2h34_2,2h34,28.6
4aqd_1,4aqd,14.3
4aqd_2,4aqd,12.3
4aqd_3,4aqd,12.3
3lgq_1,3lgq,4.4
4zl2_1,4zl2,NA
4zl2_2,4zl2,NA
1eu5_1,1eu5,3
4oud_1,4oud,2.3
1hfp_1,1hfp,1.6
2oe7_1,2oe7,1.6
1flu_1,1flu,1.6
3c3a_1,3c3a,1.6
3c3a_2,3c3a,1.6
2vxr_1,2vxr,1.6
4uwl_1,4uwl,12.3
3qqh_1,3qqh,1.6
1u3v_1,1u3v,3.5
4re8_1,4re8,1.6
4re8_2,4re8,1.6
4re8_3,4re8,14.3
3pci_2,3pci,0
3pci_1,3pci,40.5
1ua4_1,1ua4,12.3
4bql_2,4bql,70.3
4bql_1,4bql,24
2g1u_1,2g1u,3.5
4kxa_1,4kxa,28.6
4a9i_2,4a9i,43.2
4a9i_1,4a9i,43.2
5ad4_1,5ad4,15.4
3fmq_2,3fmq,12.3
3fmq_1,3fmq,12.3
1lj0_1,1lj0,70.3
1lj0_6,1lj0,12.3
1lj0_5,1lj0,NA
1lj0_2,1lj0,70.3
1lj0_3,1lj0,70.3
1lj0_4,1lj0,12.3
2q5q_1,2q5q,59.1
2q5q_2,2q5q,3.5
3bwo_3,3bwo,3.5
3bwo_2,3bwo,3.5
3bwo_1,3bwo,3.5
3e1w_1,3e1w,7.7
3e1w_2,3e1w,94
4y51_1,4y51,1.6
5d5r_1,5d5r,1.6
2q2f_1,2q2f,10.5
2as3_1,2as3,1.6
5fdo_4,5fdo,1.6
5fdo_3,5fdo,1.6
5fdo_2,5fdo,1.6
5fdo_1,5fdo,1.6
2emq_1,2emq,3.5
3gew_1,3gew,37.9
3gew_2,3gew,37.9
4gs5_1,4gs5,74.9
3qqo_1,3qqo,0
2pmp_1,2pmp,3
3fj8_2,3fj8,25
3fj8_1,3fj8,25
1xqb_1,1xqb,7.4
4ogk_1,4ogk,3
3mph_1,3mph,3.5
4yxx_1,4yxx,1.6
4chf_2,4chf,2.8
4chf_1,4chf,2.8
2d3b_1,2d3b,7.7
4jz1_1,4jz1,1.6
193l_1,193l,1.6
2h1r_2,2h1r,12.3
2h1r_1,2h1r,12.3
4aw0_1,4aw0,1.6
3fty_1,3fty,1.6
1nfs_1,1nfs,3.5
3eot_1,3eot,NA
1kqd_1,1kqd,3.5
1kqd_2,1kqd,3.5
4ncu_1,4ncu,24
3lka_1,3lka,1.6
1ex2_1,1ex2,91.5
2hwu_1,2hwu,3
2w2s_1,2w2s,2.8
4wpa_1,4wpa,15.4
4l5f_1,4l5f,NA
1mn4_1,1mn4,2.8
4cdl_1,4cdl,1.6
3o11_2,3o11,NA
3o11_1,3o11,NA
4ks5_1,4ks5,3
2f7k_1,2f7k,3.5
1sxa_1,1sxa,3.5
4p3w_5,4p3w,28.6
4p3w_6,4p3w,28.6
4p3w_1,4p3w,28.6
4p3w_4,4p3w,28.6
4p3w_3,4p3w,28.6
4p3w_2,4p3w,28.6
5cy9_1,5cy9,1.6
1k5b_1,1k5b,1.6
1p3m_1,1p3m,10.6
2q01_1,2q01,3
2nn4_2,2nn4,2.8
2nn4_3,2nn4,2.8
2nn4_1,2nn4,2.8
3ri0_3,3ri0,24
3ri0_2,3ri0,25
3ri0_1,3ri0,25
5fyl_1,5fyl,NA
4cbj_1,4cbj,24
3twz_1,3twz,1.6
1mex_1,1mex,NA
1hdh_1,1hdh,2.8
1hdh_2,1hdh,2.8
2ztw_1,2ztw,3.5
1git_1,1git,1.6
4ipu_1,4ipu,2.8
4ipu_3,4ipu,2.8
4ipu_2,4ipu,2.8
4ipu_4,4ipu,2.8
3fs4_1,3fs4,0
4yp5_1,4yp5,0
2xu7_2,2xu7,1.6
2xu7_1,2xu7,1.6
3kbl_2,3kbl,7.4
3kbl_1,3kbl,7.4
2ha0_1,2ha0,3.5
4ty0_1,4ty0,1.6
4ty0_2,4ty0,1.6
4cj5_1,4cj5,3.5
5ds8_2,5ds8,NA
5ds8_1,5ds8,NA
4qqv_1,4qqv,15.4
4qqv_2,4qqv,0
2gl8_1,2gl8,59.1
3h1c_9,3h1c,3
3h1c_5,3h1c,3
3h1c_1,3h1c,3
3h1c_13,3h1c,3
1s1d_2,1s1d,74.9
1s1d_1,1s1d,74.9
4gi9_2,4gi9,1.6
4gi9_1,4gi9,1.6
1to4_2,1to4,3.5
1to4_1,1to4,3.5
1pzt_1,1pzt,1.6
1ldi_1,1ldi,3
3t07_1,3t07,3
1usl_3,1usl,3.5
1usl_2,1usl,3.5
1usl_1,1usl,3.5
1boa_1,1boa,1.6
4lxi_1,4lxi,15.4
3v6k_2,3v6k,1.6
3v6k_1,3v6k,1.6
3mic_1,3mic,2.8
1ua3_1,1ua3,1.6
1vh9_2,1vh9,3.5
1vh9_3,1vh9,3.5
1vh9_1,1vh9,70.3
3dv9_1,3dv9,12.3
1aev_1,1aev,1.6
2o1a_1,2o1a,12.3
17gs_1,17gs,3.5
2r5p_2,2r5p,3.5
2r5p_1,2r5p,3.5
1cil_1,1cil,1.6
2j8g_1,2j8g,2.8
5buq_1,5buq,43.2
4l3g_1,4l3g,10.6
2cad_1,2cad,4.4
1huu_3,1huu,94.7
1huu_2,1huu,94.7
1huu_4,1huu,3.5
1huu_1,1huu,3.5
1huu_5,1huu,14.3
3bpz_1,3bpz,98.1
4iof_1,4iof,NA
1sd1_1,1sd1,3
1db3_1,1db3,70.3
4nrt_1,4nrt,1.6
5bsi_2,5bsi,7.5
5bsi_3,5bsi,7.5
5bsi_4,5bsi,7.5
5bsi_1,5bsi,7.5
4n26_1,4n26,10.5
3f5e_1,3f5e,2.8
5a3n_1,5a3n,1.6
3amy_1,3amy,1.6
3fcf_1,3fcf,1.6
3uh2_2,3uh2,12.3
3uh2_3,3uh2,10.5
3uh2_1,3uh2,12.3
4ojp_1,4ojp,4.4
4e44_1,4.00E+44,0
3mrm_1,3mrm,NA
5f0c_1,5f0c,15.4
2qie_2,2qie,0
2qie_1,2qie,0
3srt_1,3srt,3
3srt_2,3srt,3
2pl1_1,2pl1,3.5
1p5r_1,1p5r,3.5
4a9x_1,4a9x,2.8
4fiz_1,4fiz,91.5
4fiz_2,4fiz,91.5
4fiz_3,4fiz,3
2jd6_2,2jd6,0
2jd6_1,2jd6,0
3llu_1,3llu,59.1
4qn4_1,4qn4,3
4qn4_2,4qn4,3
1uhv_1,1uhv,3
4uzu_1,4uzu,12.3
1rzi_2,1rzi,NA
1rzi_5,1rzi,NA
1rzi_7,1rzi,NA
1rzi_1,1rzi,NA
1rzi_6,1rzi,NA
1rzi_8,1rzi,NA
1rzi_4,1rzi,NA
1rzi_3,1rzi,NA
3w0y_1,3w0y,1.6
4i43_1,4i43,4.5
3fzq_1,3fzq,70.3
3fzq_2,3fzq,70.3
3vki_1,3vki,44.5
3vki_2,3vki,44.5
3vki_3,3vki,44.5
3vki_4,3vki,44.5
1vlh_1,1vlh,7.7
3h6k_2,3h6k,43.2
3h6k_1,3h6k,43.2
4gsj_1,4gsj,1.6
1wut_1,1wut,3.5
3pdg_1,3pdg,19.4
4als_1,4als,1.6
2ux6_1,2ux6,12.3
4k93_1,4k93,43.2
3fxv_1,3fxv,1.6
1c1o_1,1c1o,1.6
3qhf_1,3qhf,NA
4o1e_1,4o1e,3.5
4zve_1,4zve,1.6
3quy_1,3quy,NA
157l_1,157l,1.6
4mes_2,4mes,12.3
4mes_1,4mes,12.3
4ryf_1,4ryf,0
